Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount2	LfLgth2	LfWdth2	comment
212	CA001-9-11	CA001	9	11	inv	ass map	control	18	5	12	19.5	4	
213	CA001-9-12	CA001	9	12	inv	ass map	control	21	40	13	22	4.5	
214	CA001-9-13	CA001	9	13	inv	ass map	control	23	34	15	22.6	5.3	
215	CA001-9-14	CA001	9	14	inv	ass map	control	13	41	13	18.7	5	
216	CA001-9-16	CA001	9	16	inv	ass map	control	14	40	8	17.9	5	
217	CA001-9-17	CA001	9	17	inv	ass map	control	23	49	14	18.7	5.4	
218	CA001-9-18	CA001	9	18	inv	ass map	control	12	16	8	25.4	6.1	
219	CA001-9-19	CA001	9	19	inv	ass map	control	19	32	9	24.5	6.5	
220	CA001-9-20	CA001	9	20	inv	ass map	control	21	29	18	20	6.2	
221	CA001-9-21	CA001	9	21	inv	array	dna	12	25	12	29.9	7.8	
222	CA001-9-22	CA001	9	22	inv	ass map	control	15	38	12	18.6	4.9	
223	CA001-9-23	CA001	9	23	inv	ass map	control	14	23	13	21.8	4.8	
224	CA001-9-24	CA001	9	24	inv	ass map	control	16	31	10	19.5	5.9	
225	CA001-9-25	CA001	9	25	inv	ass map	control	20	35	12	26.8	6.1	
226	CA001-9-26	CA001	9	26	inv	ass map	control	16	29	10	24.5	5.7	
227	CA001-9-27	CA001	9	27	inv	ass map	control	17	1	13	24.6	4.5	
228	CA001-9-3	CA001	9	3	inv	ass map	control	17	23	16	33.1	6.8	
229	CA001-9-30	CA001	9	30	inv	ass map	control	18	43	10	18	4.4	
230	CA001-9-31	CA001	9	31	inv	mat fx	control	6	7	14	18.7	4.8	
231	CA001-9-4	CA001	9	4	inv	ass map	control	15	32	8	28.5	5.1	
232	CA001-9-5	CA001	9	5	inv	mat fx	control	7	18	10	19.4	4	
233	CA001-9-6	CA001	9	6	inv	ass map	control	15	21	NA	NA	NA	
234	CA001-9-7	CA001	9	7	inv	ass map	control	21	7	11	23.7	4.1	
235	CA001-9-9	CA001	9	9	inv	ass map	control	21	15	13	26.1	4.8	
236	GR002-10-2	GR002	10	2	nat	ass map	control	20	43	12	15.4	5.4	
237	GR002-10-3	GR002	10	3	nat	mat fx	nut def	11	45	14	16.2	4.1	
238	GR002-10-4	GR002	10	4	nat	mat fx	control	7	25	NA	NA	NA	
