PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
33	CA008	5	35	5	j	inv	cont	CA008.5.j	85	17	39.5	6.2	n	86	7.71	3.169	1.095	33	21.1	6.1	y	NA	11	14	2.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.63905732961526	1.02961941718116	5.74456264653803	3.04927304048202	1.80828877117927	4.12310562561766	3.67630067190708	1.82454929205105	2.04251818757524	1.15341608070878	0.0907543632684641	244.9	5.50084996395812	49.0120833333333	-118.645711111111	0
34	CA008	7	38	4	h	inv	cont	CA008.4.h	86	13	22.5	6.2	n	86	7.32	1.979	0.626	10	22.9	6.6	y	NA	9	11.7	2.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.45958884180371	1.02961941718116	3.16227766016838	3.13113691056019	1.88706964903238	3.60555127546399	3.11351530921037	1.82454929205105	1.99061032797322	0.682591666620429	-0.468404907882039	139.5	4.93806460126142	49.0120833333333	-118.645711111111	0
35	CA008	12	45	2	b	inv	cont	CA008.2.b	86	17	27.7	7.1	y	85	6.33	1.891	0.792	18	24.2	5.5	y	NA	13	13.6	3.9		69	NA	NA	NA	NA	NA	NA	69	1	5.5		NA			3.60555127546399	2.61006979274201	1.3609765531356	4.24264068711928	3.18635263316264	1.70474809223843	4.12310562561766	3.32143241319329	1.96009478404727	1.84530023615608	0.63710578967632	-0.233193887167711	196.67	5.28152719724056	49.0120833333333	-118.645711111111	1
36	CA008	24	14	6	f	inv	cont	CA008.6.f	85	8	30.2	7	n	85	8.08	2.936	0.746	11	28.5	7.1	y	NA	6	14.1	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.44948974278318	2.64617479738412	1.09861228866811	3.3166247903554	3.3499040872746	1.96009478404727	2.82842712474619	3.40784192438082	1.94591014905531	2.089391872533	1.07704811075227	-0.293029678778376	211.4	5.35375207343614	49.0120833333333	-118.645711111111	0
37	CA008	6	50	5	g	inv	cont	CA008.5.g	86	26	23.4	4.8	n	86	9.43	2.744	2.979	17	22.7	4.8	y	NA	11	12	2.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.484906649788	1.02961941718116	4.12310562561766	3.12236492448736	1.56861591791385	5.09901951359278	3.15273602236366	1.56861591791385	2.24389609664537	1.00941670986364	1.09158767373115	112.32	4.7213519402775	49.0120833333333	-118.645711111111	0
38	CA008	40	36	4	g	inv	cont	CA008.4.g	84	19	26.7	6.1	n	84	7.71	3.323	1.546	NA	NA	NA	NA	NA	10	15.2	5.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.72129542785223	1.68639895357023	NA	NA	NA	4.35889894354067	3.2846635654062	1.80828877117927	2.04251818757524	1.20086798937246	0.43567095016523	162.87	5.09295233658547	49.0120833333333	-118.645711111111	0
39	CA008	44	18	4	i	inv	cont	CA008.4.i	84	20	28.7	5.4	n	84	5.69	3.149	1.022	10	28.2	7.9	n	NA	9	15.2	4.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.72129542785223	1.41098697371026	3.16227766016838	3.33932197794407	2.06686275947298	4.47213595499958	3.35689712276558	1.68639895357023	1.73871024813824	1.14708494211889	0.0217614917815127	154.98	5.0432960763358	49.0120833333333	-118.645711111111	0
40	CA008	30	43	6	a	inv	cont	CA008.6.a	86	13	21.2	6.6	n	86	9.82	2.988	2.232	12	15.1	4.8	n	NA	8	11	3.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.39789527279837	1.30833281965018	3.46410161513775	2.71469474382088	1.56861591791385	3.60555127546399	3.05400118167797	1.88706964903238	2.28442112236637	1.09460426727057	0.802898044519065	139.92	4.94107083071035	49.0120833333333	-118.645711111111	0
41	GR001	34	20	28	g	nat	cont	GR001.28.g	84	0	NA	NA	y	84	7.24	5.992	3.871	7	20	3.8	y	21	6	15	4.5		11	18	1	39	1	29.6	NA	69	1	31.6		53	white		2.44948974278318	2.70805020110221	1.50407739677627	2.64575131106459	2.99573227355399	1.33500106673234	0	NA	NA	1.97962120639763	1.79042524621492	1.35351287159551	NA	NA	40.1566666666667	22.5480555555556	1
42	GR001	6	41	24	e	nat	cont	GR001.24.e	86	0	NA	NA	y	86	6.92	3.183	1.511	18	22.8	4.2	y	NA	9	14	2.6		38	NA	NA	38	1	6.7	NA	69	1	45		NA			3	2.63905732961526	0.955511445027436	4.24264068711928	3.1267605359604	1.43508452528932	0	NA	NA	1.93441576962958	1.15782414829996	0.412771683290602	NA	NA	40.1566666666667	22.5480555555556	1
43	GR001	5	17	24	b	nat	cont	GR001.24.b	85	19	33	6.5	n	86	5.62	2.099	0.7	11	29.7	5	n	NA	3	9.5	0.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			1.73205080756888	2.2512917986065	-0.105360515657826	3.3166247903554	3.39114704580865	1.6094379124341	4.35889894354067	3.49650756146648	1.87180217690159	1.7263316639056	0.741461040838496	-0.356674943938732	214.5	5.36830973836807	40.1566666666667	22.5480555555556	0
44	GR001	7	11	6	e	nat	cont	GR001.6.e	86	13	27.2	7.9	n	86	7.55	4.036	1.407	11	25	5.6	n	NA	7	13.4	2.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	2.59525470695687	1.06471073699243	3.3166247903554	3.2188758248682	1.7227665977411	3.60555127546399	3.30321697330195	2.06686275947298	2.02154756326093	1.39525410249136	0.341459778132252	214.88	5.37007973277493	40.1566666666667	22.5480555555556	0
45	GR001	12	29	28	b	nat	cont	GR001.28.b	86	10	18.2	3.6	n	85	3.15	0.566	0.862	8	18.3	2.6	y	NA	5	14.4	1.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.23606797749979	2.66722820658195	0.405465108108164	2.82842712474619	2.90690105984738	0.955511445027436	3.16227766016838	2.90142159408275	1.28093384546206	1.14740245283754	-0.569161200778954	-0.148500008318444	65.52	4.18235543954481	40.1566666666667	22.5480555555556	0
46	GR001	44	29	26	h	nat	cont	GR001.26.h	84	17	26.1	6.1	y	84	6.44	3.621	2.362	12	24.7	3.7	n	NA	6	15.8	4.1		84	NA	NA	NA	NA	NA	NA	84	NA	10.5		NA			2.44948974278318	2.76000994003292	1.41098697371026	3.46410161513775	3.20680324363393	1.30833281965018	4.12310562561766	3.26193531432865	1.80828877117927	1.86252854011626	1.2867502307835	0.859508717775171	159.21	5.07022408550791	40.1566666666667	22.5480555555556	1
47	GR001	30	2	24	f	nat	cont	GR001.24.f	86	17	25.3	8.1	n	86	8.43	2.771	3.956	13	17.8	4.6	n	NA	7	10.2	2.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	2.32238772029023	1.06471073699243	3.60555127546399	2.87919845729804	1.52605630349505	4.12310562561766	3.23080439573347	2.09186406167839	2.13179677201376	1.01920826588084	1.37523341376047	204.93	5.32266845741187	40.1566666666667	22.5480555555556	0
48	GR001	40	43	14	e	nat	cont	GR001.14.e	84	13	22.8	4.5	n	84	8.25	3.873	10.938	NA	NA	NA	NA	NA	11	16	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.77258872223978	1.6094379124341	NA	NA	NA	3.60555127546399	3.1267605359604	1.50407739677627	2.11021320034659	1.35402940053262	2.39224296492458	102.6	4.63083793273667	40.1566666666667	22.5480555555556	0
49	GR001	25	3	24	d	nat	cont	GR001.24.d	85	17	28.6	6.5	n	85	9.52	2.774	1.397	12	18.6	4.6	n	NA	11	15.9	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.76631910922619	1.43508452528932	3.46410161513775	2.92316158071916	1.52605630349505	4.12310562561766	3.35340671782581	1.87180217690159	2.25339484880327	1.02029032189264	0.334327080274825	185.9	5.2252088947274	40.1566666666667	22.5480555555556	0
50	GR002	30	20	2	g	nat	cont	GR002.2.g	86	11	28.2	4.4	n	86	6.72	2.485	1.866	14	23.1	3.8	y	NA	12	15.2	3.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.72129542785223	1.30833281965018	3.74165738677394	3.13983261752775	1.33500106673234	3.3166247903554	3.33932197794407	1.48160454092422	1.90508815453506	0.910272659548592	0.623797102425152	124.08	4.82092651886828	40.6213888888889	23.0786111111111	0
51	GR002	44	39	2	i	nat	cont	GR002.2.i	84	31	23.7	4.6	n	84	8.77	2.577	3.54	21	24	3.5	y	NA	14	15.7	2.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.74165738677394	2.75366071235426	0.916290731874155	4.58257569495584	3.17805383034795	1.25276296849537	5.56776436283002	3.16547504814109	1.52605630349505	2.17133680638409	0.946625931670228	1.26412672714568	109.02	4.69153135163613	40.6213888888889	23.0786111111111	0
52	GR002	40	19	13	f	nat	cont	GR002.13.f	84	0	NA	NA	y	84	6.76	1.682	1.041	NA	NA	NA	NA	NA	8	17	3.5		69	NA	NA	NA	NA	NA	NA	69	1	13.5		NA			2.82842712474619	2.83321334405622	1.25276296849537	NA	NA	NA	0	NA	NA	1.91102289005487	0.519983561550756	0.0401817896328318	NA	NA	40.6213888888889	23.0786111111111	1
53	GR002	6	15	8	h	nat	cont	GR002.8.h	86	4	13.3	1.9	y	86	7.47	4.076	0.504	12	13.1	3.4	y	20.4	10	12.4	2.8		11	18	1	38	1	19	NA	69	1	26.5		53	white		3.16227766016838	2.51769647261099	1.02961941718116	3.46410161513775	2.57261223020711	1.22377543162212	2	2.58776403522771	0.641853886172395	2.01089499914473	1.40511611536048	-0.685179010910768	25.27	3.2296179214001	40.6213888888889	23.0786111111111	1
