Rack	Pos	Barcode	Origin	Exp	Trt	comment	PopID	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	comments	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	SLAmass.g	SLAarea	SLAdate	HarvestDay	BoltDay	MsrHarvest	MassNotes	MsrHarvest3	Wilt	TotWilt	Yellow	Death	Float	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
35	7	16	GR002-1-1	nat	mat fx	control		GR002	1	1	27	24.5	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.9	3.468	2010-10-21	13	17.2	3.5	14	17.5	3.9							0.062	12.142	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	7	18	CA001-9-5	inv	mat fx	control		CA001	9	5	28	22.1	4.4	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	4.041	2010-10-21	10	19.4	4	12	14.7	3.6							0.112	19.991	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	7	20	TR001-9-6	nat	mat fx	control		TR001	9	6	19	17.5	3.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.7	1.9	2010-10-21	11	14.8	3.7	17	15.1	4.5							0.056	8.329	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	7	21	SAND-1-6	SK	mat fx	control		SAND	1	6	16	25.4	5.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	4.645	2010-10-21	NA	NA	NA	15	20.9	7.2							0.238	32.105	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	7	23	US001-7-4	inv	mat fx	control		US001	7	4	17	25.3	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.8	3.756	2010-10-21	NA	NA	NA	16	20.9	4.8							0.161	27.146	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	7	25	GR002-10-4	nat	mat fx	control		GR002	10	4	24	19.5	6.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1.8	3.069	2010-10-21	NA	NA	NA	13	13.5	3.6							0.134	27.169	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	7	27	RU008-5-1	nat	mat fx	control		RU008	5	1	10	21.5	4.3	y	1	36	36	NA	NA	NA	NA	NA	NA	62		0.7	5.523	2010-10-21	NA	NA	NA	25	16	4.2			9/30/2010				0.95	19.223	10/18/2010	86	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	7	29	CA001-13-1	inv	mat fx	control		CA001	13	1	22	26	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.5	3.77	2010-10-21	NA	NA	NA	10	21	4.3							0.117	16.606	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	7	32	US003-2-1	inv	mat fx	control		US003	2	1	18	25	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.8	3.215	2010-10-21	15	21.3	7.2	13	17.5	4.2							0.148	21.693	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	7	34	SAND-3-3	SK	mat fx	control		SAND	3	3	20	27.3	8.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.8	5.459	2010-10-21	11	22.3	5.9	14	22.2	6.4							0.259	32.269	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	7	36	TR001-9-9	nat	mat fx	control	BLT 29.7	TR001	9	9	0	0	0	y	1	37.1	37.1	NA	NA	NA	NA	NA	NA	71	FLR WHITE	0.5	2.697	2010-10-21	12	16.3	3	16	16.1	2.5			8/9/2010	9/16/2010	white		NA	NA	NA	86	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	7	38	RU008-5-9	nat	mat fx	control		RU008	5	9	12	18	2.5	y	1	41.6	41.6	NA	NA	NA	NA	NA	NA	50		1.1	4.146	2010-10-21	11	16.7	3.2	18	17.6	3.2			9/30/2010				0.072	18.968	10/18/2010	86	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	7	40	US002-6-2	inv	mat fx	control		US002	6	2	0	0	0	y	2	33.3	33.3	25.8	NA	NA	NA	NA	NA	64		1	4.126	2010-10-21	11	15	2	14	12	2.5			9/16/2010				NA	NA	10/18/2010	86	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	7	41	SAND-3-5	SK	mat fx	control		SAND	3	5	23	18.5	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.8	3.896	2010-10-21	12	21.6	7.5	18	21.6	7.9							0.142	18.95	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	7	43	GR002-6-1	nat	mat fx	control		GR002	6	1	35	22.6	3.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	4.044	2010-10-21	18	16	4.6	20	15.9	5.2							0.149	22.874	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	7	45	SAND-1-1	SK	mat fx	control		SAND	1	1	15	26.4	7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.7	4.675	2010-10-21	13	261	6.8	13	27.1	7.9							0.282	NA	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	7	47	GR002-3-2	nat	mat fx	control		GR002	3	2	18	22.4	3.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	2.67	2010-10-21	7	15.2	2.1	14	15.5	3.7							0.156	21.326	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	7	49	TR001-9-23	nat	mat fx	control		TR001	9	23	21	14.6	3.5	y	1	33.1	33.1	NA	NA	NA	NA	NA	NA	NA		0.8	2.954	2010-10-21	13	14.7	2.8	15	15.9	2.9			9/30/2010				0.064	7.922	10/18/2010	86	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	7	50	US003-9-7	inv	mat fx	control		US003	9	7	14	16	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	2.035	2010-10-21	15	18.7	5.2	23	18.6	4.9							0.056	8.95	10/18/2010	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	12	1	SERG-3-9	SK	ass map	control		SERG	3	9	0	0	0	y	1	27.5	27.5	NA	NA	NA	NA	NA	NA	32	FLR PRPL	0.65	3.517	2010-10-19	16	15.5	5.6	12	16.2	4.3			9/20/2010	10/19/2010	purple		0.061	8.417	9/28/2010	84	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	12	3	CA001-8-8	inv	ass map	control		CA001	8	8	23	24.3	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.85	3.529	2010-10-19	17	20.8	4.1	12	18.2	5.6							0.121	18.872	9/28/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	12	5	US003-12-6	inv	ass map	control		US003	12	6	26	19.5	4.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		9	2.692	2010-10-19	13	21.5	4	16	22.9	6.2							0.14	31.901	9/28/2010	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
