PopID	CrossNum	Rack	Pos	Barcode	Origin	Exp	Trt	Indiv	LfCount1	LfLgth1	LfWdth1	comments	Yellow	Death	DeathDay	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	FlrHeadCount	CrownDiam.mm	ShootMass.g	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	BoltDate	SLAmass.g	SLAarea	SLAdate	BoltDay	MsrHarvest3	comment	FlwrDate	FlwrCol	HBoltHt2	HarvNotes	HarvestDay	HBoltHt3	FlwrNote	sla	Crown.mmA	Mass.gA	Wilt	TotWilt	WiltDay	TotWiltDay	Float	YellowDay	FloatDay	Latitude	Longitude	lxw	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv
42	BG001	9	9	23	BG001-9-1	nat	mat fx	drought	1	11	20.9	3.7		NA	8/3/2010	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7/29/2010	8/1/2010	2	5	NA	NA	NA	43.3819444444444	28.4575	77.33	25L	25	L	22N	22	N
43	BG001	9	19	31	BG001-9-9	nat	ass map	control	9	10	11	3		NA	NA	NA	0	0	0	y	2	27.2	27.2	62	0.55	2.248	2010-10-21	7	15	3.6	9/16/2010	NA	NA	10/14/2010	51	NA		10/21/2010	light purple	21	L PRPL	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	33	25L	25	L	22N	22	N
44	BG001	9	13	16	BG001-9-8	nat	ass map	control	8	16	12.6	4.4		NA	NA	NA	3	20.5	2.5	y	1	41.6	41.6	49	0.5	3.536	2010-10-21	17	19.4	3.8	9/30/2010	NA	NA	10/15/2010	65	NA				NA		86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	55.44	25L	25	L	22N	22	N
45	BG001	9	10	32	BG001-9-2	nat	mat fx	flood	2	13	22.6	3.6		8/1/2010	8/9/2010	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8/7/2010	5	11	43.3819444444444	28.4575	81.36	25L	25	L	22N	22	N
46	BG001	9	21	47	BG001-9-6	nat	ass map	control	6	14	17.2	4.7		NA	NA	NA	0	0	0	y	1	28	28	220	0.5	4.187	2010-10-21	3	14.1	3.1	8/9/2010	NA	NA	NA	13	NA	BLT 25.5	9/10/2010	light purple	NA	FLR LIGHT PRPL	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	80.84	25L	25	L	22N	22	N
47	CA001	11	5	38	CA001-11-10	inv	mat fx	allo	10	11	13.8	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7	0.91	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	38.64	3N	3	N	2M	2	M
48	CA001	11	15	10	CA001-11-9	inv	ass map	control	9	12	16.5	3.6		NA	NA	NA	34	18.6	4.1	n	NA	NA	NA	NA	0.7	3.785	2010-10-21	13	15.8	3.8		0.099	17.137	10/18/2010	NA	NA				NA		86	NA	NA	173.10101010101	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	59.4	3N	3	N	2M	2	M
49	CA001	11	8	34	CA001-11-1	inv	mat fx	cut	1	13	16	3.1	NA	NA	NA	NA	33	0	0	n	NA	NA	NA	NA	0.8	NA	2010-10-18	16	0	0		NA	NA	10/18/2010	NA	83	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	49.6	3N	3	N	2M	2	M
50	CA001	12	17	14	CA001-12-2	inv	ass map	control	2	8	15.9	2.8		NA	NA	NA	19	26.3	3.9	n	NA	NA	NA	NA	0.8	3.935	2010-10-20	10	27.4	4		0.237	33.118	9/28/2010	NA	NA				NA		85	NA	NA	139.738396624473	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	44.52	3N	3	N	4L	4	L
51	CA001	12	11	20	CA001-12-14	inv	mat fx	nut def	14	10	17	3.4	NA	8/5/2010	NA	NA	14	13.1	3.9	n	NA	NA	NA	NA	0.45	1.296	2010-10-13	11	17.1	3.2		0.077	NA	10/13/2010	NA	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	57.8	3N	3	N	4L	4	L
52	CA001	12	10	38	CA001-12-4	inv	mat fx	flood	4	11	15.2	3.4		8/2/2010	8/9/2010	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		6	NA	49.0149388888889	-122.882097222222	51.68	3N	3	N	4L	4	L
53	CA001	13	7	29	CA001-13-1	inv	mat fx	control	1	10	21	4.3	NA	NA	NA	NA	22	26	3.8	n	NA	NA	NA	NA	0.5	3.77	2010-10-21	NA	NA	NA		0.117	16.606	10/18/2010	NA	NA				NA		86	NA	NA	141.931623931624	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	90.3	3N	3	N	3O	3	O
54	CA001	14	6	12	CA001-14-1	inv	mat fx	control	1	14	12.7	2.6	NA	NA	NA	NA	18	26.4	4.8	n	NA	NA	NA	NA	0.8	4.045	2010-10-19	13	12.6	5		0.188	25.611	10/19/2010	NA	NA				NA		84	NA	NA	136.228723404255	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	33.02	4L	4	L	7L	7	L
55	CA001	15	19	3	CA001-15-2	inv	ass map	control	2	14	15.4	3.6		NA	NA	NA	20	22.3	4.1	n	NA	NA	NA	NA	0.8	3.818	2010-10-21	11	21.4	3.7		0.134	NA	10/14/2010	NA	NA				NA		86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	55.44	4L	4	L	3O	3	O
56	CA001	16	8	42	CA001-16-4	inv	mat fx	cut	4	13	13.2	3.8	NA	NA	NA	NA	31	0	0	n	NA	NA	NA	NA	0.8	NA	2010-10-18	19	0	0		NA	NA	10/18/2010	NA	83	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	50.16	4L	4	L	2M	2	M
57	CA001	2	5	47	CA001-2-1	inv	mat fx	allo	1	15	12.9	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7	1.68	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	51.6	3O	3	O	7L	7	L
58	CA001	20	12	15	CA001-20-12	inv	ass map	control	12	13	14	3.5		NA	NA	NA	34	0	0	n	NA	0	0	0	0.7	NA	2010-10-19	17	0	0		NA	21.315	9/28/2010	NA	NA				NA		84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222	49	7L	7	L	4L	4	L
