PopID	Mom	Origin	Latitude	Longitude	Cross_MomID	GermAvgDate	GermCount	GermPercent	CollYear	SeedAgeYrs	SeedCount	Rack	Pos	Indiv	Trt	ID_barcode	LfCountH	BoltedatH	ShootMass.g	LfCount1	BoltDay.adj	lxwH	bolt.bin	pop_momfam	Exp	MomFam	CrossNum	MomIndiv	DadID	DadFam	DadIndiv	Generation
117	CA001	3O	inv	49.0149388888889	-122.882097222222	CA001-5	2	24	100	2010	0.17	24	22	9	18	cont	CA001-5-18	12	n	3.973	11	NA	121.73	0	CA001_3	ass map	3	5	O	3N	3	N	1
119	CA001	2M	inv	49.0149388888889	-122.882097222222	CA001-7	2.2	10	83.3333333333333	2010	0.17	12	14	3	1	cont	CA001-7-1	24	n	4.117	12	NA	105.35	0	CA001_2	ass map	2	7	M	3N	3	N	1
120	CA001	2M	inv	49.0149388888889	-122.882097222222	CA001-8	2.36	25	96.1538461538462	2010	0.17	26	7	12	24	cont	CA001-8-24	23	n	4.371	13	NA	69.36	0	CA001_2	mat fx	2	8	M	3O	3	O	1
121	CA001	2M	inv	49.0149388888889	-122.882097222222	CA001-8	2.36	25	96.1538461538462	2010	0.17	26	19	1	23	cont	CA001-8-23	27	n	3.285	10	NA	95.52	0	CA001_2	ass map	2	8	M	3O	3	O	1
122	CA001	2M	inv	49.0149388888889	-122.882097222222	CA001-9	2.133333333	30	90.9090909090909	2010	0.17	33	6	7	31	cont	CA001-9-31	16	n	4.276	11	NA	111.8	0	CA001_2	mat fx	2	9	M	4L	4	L	1
123	CA001	2M	inv	49.0149388888889	-122.882097222222	CA001-9	2.133333333	30	90.9090909090909	2010	0.17	33	7	18	5	cont	CA001-9-5	28	n	4.041	12	NA	97.24	0	CA001_2	mat fx	2	9	M	4L	4	L	1
125	CA001	3N	inv	49.0149388888889	-122.882097222222	CA001-11	2.571428571	14	100	2010	0.17	14	15	10	9	cont	CA001-11-9	34	n	3.785	12	NA	76.26	0	CA001_3	ass map	3	11	N	2M	2	M	1
126	CA001	3N	inv	49.0149388888889	-122.882097222222	CA001-12	2.210526316	19	95	2010	0.17	20	17	14	2	cont	CA001-12-2	19	n	3.935	8	NA	102.57	0	CA001_3	ass map	3	12	N	4L	4	L	1
127	CA001	3N	inv	49.0149388888889	-122.882097222222	CA001-13	2.333333333	3	100	2010	0.17	3	7	29	1	cont	CA001-13-1	22	n	3.77	10	NA	98.8	0	CA001_3	mat fx	3	13	N	3O	3	O	1
128	CA001	4L	inv	49.0149388888889	-122.882097222222	CA001-14	2	1	100	2010	0.17	1	6	12	1	cont	CA001-14-1	18	n	4.045	14	NA	126.72	0	CA001_4	mat fx	4	14	L	7L	7	L	1
