Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	MsrHarvest	CrownDiam.mm	ShootMass.g	MassNotes	MsrHarvest2	MsrHarvest3
CA001-17-12	16	40	CA001-17-12	CA001	17	12	inv	ass map	control	18	25.6	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	1.1	3.592	NA	2010-10-15	80
CA001-17-2	19	38	CA001-17-2	CA001	17	2	inv	ass map	control	15	24.2	5.1	y	1	5	5	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.8	3.852	NA	2010-10-21	86
CA001-17-3	20	7	CA001-17-3	CA001	17	3	inv	ass map	control	27	29	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	4.412	NA	2010-10-21	86
CA001-17-4	16	38	CA001-17-4	CA001	17	4	inv	ass map	control	17	26.1	4.6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	0.8	3.999	NA	2010-10-15	80
CA001-17-5	19	20	CA001-17-5	CA001	17	5	inv	ass map	control	12	20.5	6	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	2.771	NA	2010-10-21	86
CA001-17-6	14	49	CA001-17-6	CA001	17	6	inv	ass map	control	17	27.6	3.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	0.75	3.224	NA	2010-10-19	84
CA001-17-7	18	10	CA001-17-7	CA001	17	7	inv	ass map	control	9	26.6	5.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.75	2.254	NA	2010-10-20	85
CA001-17-8	22	40	CA001-17-8	CA001	17	8	inv	ass map	control	14	20.3	5.3	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.84	NA	2010-10-21	86
CA001-17-9	13	10	CA001-17-9	CA001	17	9	inv	ass map	control	8	21.4	3.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	1.562	NA	2010-10-21	86
CA001-18-2	20	3	CA001-18-2	CA001	18	2	inv	ass map	control	20	23.1	1.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.7	2.931	NA	2010-10-21	86
CA001-19-1	19	5	CA001-19-1	CA001	19	1	inv	ass map	control	13	20.9	4.9	y	1	31.5	31.5	NA	NA	NA	NA	NA	NA	8		10/21/2010	0.8	4.353	NA	2010-10-21	86
CA001-19-2	14	14	CA001-19-2	CA001	19	2	inv	array	dna	18	20.1	4.5	y	1	10	10	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1	2.562	NA	2010-10-19	84
CA001-19-3	13	43	CA001-19-3	CA001	19	3	inv	ass map	control	12	25.4	4.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.017	NA	2010-10-21	86
CA001-20-1	17	50	CA001-20-1	CA001	20	1	inv	ass map	control	16	19.2	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	0.85	2.743	NA	2010-10-20	85
CA001-20-10	16	3	CA001-20-10	CA001	20	10	inv	ass map	control	17	25.2	5	n	NA	0	0	NA	NA	NA	NA	NA	NA	0		10/15/2010	1	3.647	NA	2010-10-15	80
CA001-20-11	13	12	CA001-20-11	CA001	20	11	inv	ass map	control	23	25.8	4.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/21/2010	0.9	3.489	NA	2010-10-21	86
