Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Wilt	TotWilt	Yellow	Death	Float	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
CA001-11-5	17	32	CA001-11-5	CA001	11	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-6	15	45	CA001-11-6	CA001	11	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-7	20	14	CA001-11-7	CA001	11	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-8	21	45	CA001-11-8	CA001	11	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-11-9	15	10	CA001-11-9	CA001	11	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-1-2	21	30	CA001-1-2	CA001	1	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-1	1	32	CA001-12-1	CA001	12	1	inv	array	control 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-10	16	9	CA001-12-10	CA001	12	10	inv	ass map	control							10/15/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-11	22	31	CA001-12-11	CA001	12	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-12	13	9	CA001-12-12	CA001	12	12	inv	ass map	control							10/8/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-13	20	47	CA001-12-13	CA001	12	13	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-14	11	20	CA001-12-14	CA001	12	14	inv	mat fx	nut def			8/5/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-15	21	11	CA001-12-15	CA001	12	15	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-16	19	49	CA001-12-16	CA001	12	16	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-17	23	35	CA001-12-17	CA001	12	17	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-18	19	41	CA001-12-18	CA001	12	18	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-19	4	47	CA001-12-19	CA001	12	19	inv	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-2	17	14	CA001-12-2	CA001	12	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-3	21	27	CA001-12-3	CA001	12	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-4	10	38	CA001-12-4	CA001	12	4	inv	mat fx	flood			8/2/2010	8/9/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-5	18	14	CA001-12-5	CA001	12	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-6	4	7	CA001-12-6	CA001	12	6	inv	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-7	3	27	CA001-12-7	CA001	12	7	inv	array	drought 1											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-8	12	30	CA001-12-8	CA001	12	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-12-9	13	25	CA001-12-9	CA001	12	9	inv	ass map	control							10/8/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-1-3	23	14	CA001-1-3	CA001	1	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-13-1	7	29	CA001-13-1	CA001	13	1	inv	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-13-2	16	5	CA001-13-2	CA001	13	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-13-3	22	3	CA001-13-3	CA001	13	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-14-1	6	12	CA001-14-1	CA001	14	1	inv	mat fx	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-15-1	12	7	CA001-15-1	CA001	15	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-15-2	19	3	CA001-15-2	CA001	15	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-15-3	20	11	CA001-15-3	CA001	15	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-15-4	23	12	CA001-15-4	CA001	15	4	inv	ass map	control							10/8/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-15-5	12	32	CA001-15-5	CA001	15	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-15-6	16	7	CA001-15-6	CA001	15	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-15-7	18	9	CA001-15-7	CA001	15	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-1	19	7	CA001-16-1	CA001	16	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-2	12	34	CA001-16-2	CA001	16	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-3	15	35	CA001-16-3	CA001	16	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-4	8	42	CA001-16-4	CA001	16	4	inv	mat fx	cut											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-5	1	9	CA001-16-5	CA001	16	5	inv	array	control 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-6	15	40	CA001-16-6	CA001	16	6	inv	ass map	control							9/30/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-7	12	9	CA001-16-7	CA001	16	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-8	17	20	CA001-16-8	CA001	16	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-16-9	1	40	CA001-16-9	CA001	16	9	inv	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-1	18	18	CA001-17-1	CA001	17	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-10	18	40	CA001-17-10	CA001	17	10	inv	ass map	control							9/16?				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-11	16	50	CA001-17-11	CA001	17	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-12	16	40	CA001-17-12	CA001	17	12	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
