PopID	Rack	Pos	Barcode	Origin	Exp	Trt	comment	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	HarvestDay	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	BoltDate	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	BoltDay	HBoltHt3	comments	FlwrNote	sla	Latitude	Longitude	lxwH	bolt.bin	BoltDay.adj
59	RU008	7	27	RU008-5-1	nat	mat fx	control		5	1	10	21.5	4.3	y	1	36	36	NA	62		0.7	5.523	2010-10-21	86	NA	NA	NA	25	16	4.2	9/30/2010			0.095	19.223	10/18/2010	65	NA	NA	NA	202.347368421053	44.05	43.06000278	92.45	1	68
60	TR001	7	36	TR001-9-9	nat	mat fx	control	BLT 29.7	9	9	0	0	0	y	1	37.1	37.1	NA	71	FLR WHITE	0.5	2.697	2010-10-21	86	12	16.3	3	16	16.1	2.5	8/9/2010	9/16/2010	white	NA	NA	NA	13	NA	NA	NA	NA	41.7511111111111	27.2477777777778	0	1	16
61	TR001	7	3	TR001-9-18	nat	mat fx	control		9	18	12	21	3.4	n	NA	NA	NA	NA	NA		1	1.695	2010-10-21	86	10	16.5	3.7	13	17.5	3.3				0.129	18.893	10/18/2010	NA	NA	NA	NA	146.457364341085	41.7511111111111	27.2477777777778	71.4	0	NA
62	TR001	15	20	TR001-9-8	nat	ass map	control		9	8	17	29.5	4.8	n	NA	NA	NA	NA	NA		0.7	2.776	2010-10-21	86	14	20.4	4.3	12	20.6	4				0.182	24.048	10/18/2010	NA	NA		NA	132.131868131868	41.7511111111111	27.2477777777778	141.6	0	NA
63	TR001	7	20	TR001-9-6	nat	mat fx	control		9	6	19	17.5	3.7	n	NA	NA	NA	NA	NA		0.7	1.9	2010-10-21	86	11	14.8	3.7	17	15.1	4.5				0.056	8.329	10/18/2010	NA	NA	NA	NA	148.732142857143	41.7511111111111	27.2477777777778	64.75	0	NA
64	TR001	18	25	TR001-9-11	nat	ass map	control		9	11	15	26.2	5.8	n	NA	NA	NA	NA	NA		0.75	2.835	2010-10-20	85	13	20.5	5.3	13	19.9	4.8				0.196	26.84	10/18/2010	NA	NA		NA	136.938775510204	41.7511111111111	27.2477777777778	151.96	0	NA
65	TR001	7	49	TR001-9-23	nat	mat fx	control		9	23	21	14.6	3.5	y	1	33.1	33.1	NA	NA		0.8	2.954	2010-10-21	86	13	14.7	2.8	15	15.9	2.9	9/30/2010			0.064	7.922	10/18/2010	65	NA	NA	NA	123.78125	41.7511111111111	27.2477777777778	51.1	1	68
66	TR001	21	10	TR001-9-4	nat	ass map	control		9	4	13	27.8	4	n	NA	NA	NA	NA	NA		0.9	2.001	2010-10-21	86	17	21	3.5	14	15	3.2				0.129	23.725	10/14/2010	NA	NA		NA	183.914728682171	41.7511111111111	27.2477777777778	111.2	0	NA
67	TR001	20	1	TR001-7-1	nat	ass map	control		7	1	14	23.3	4.8	n	NA	NA	NA	NA	NA		0.8	2.05	2010-10-21	86	13	18	3.4	12	18.1	3.5				0.118	21.236	10/15/2010	NA	NA		NA	179.966101694915	41.7511111111111	27.2477777777778	111.84	0	NA
68	TR001	6	21	TR001-9-13	nat	mat fx	control		9	13	3	26.3	3.1	y	1	40.5	40.5	NA	NA		0.9	3.595	2010-10-19	84	11	18.5	5.8	16	17.3	3.3	9/30/2010			0.078	NA	10/19/2010	65	NA	NA	NA	NA	41.7511111111111	27.2477777777778	81.53	1	68
69	TR001	7	9	TR001-3-1	nat	mat fx	control		3	1	16	22	3.1	n	NA	NA	NA	NA	NA		0.6	2.177	2010-10-21	86	12	18.2	3.1	12	14.8	2.9				0.108	14.419	10/18/2010	NA	NA	NA	NA	133.509259259259	41.7511111111111	27.2477777777778	68.2	0	NA
70	US001	6	43	US001-9-7	inv	mat fx	control		9	7	11	27.2	4.6	n	NA	NA	NA	NA	NA		0.9	3.704	2010-10-19	84	11	19.7	3.8	15	19.9	3.7				0.257	40.578	10/19/2010	NA	NA	NA	NA	157.891050583658	45.6152333333333	-120.787533333333	125.12	0	NA
71	US001	22	29	US001-10-1	inv	ass map	control		10	1	10	27.5	6.1	n	NA	NA	NA	NA	NA		0.9	3.2	2010-10-21	86	10	28.2	6.9	14	20.9	3.1				0.198	35.402	10/15/2010	NA	NA		NA	178.79797979798	45.6152333333333	-120.787533333333	167.75	0	NA
72	US001	7	23	US001-7-4	inv	mat fx	control		7	4	17	25.3	4.1	n	NA	NA	NA	NA	NA		0.8	3.756	2010-10-21	86	NA	NA	NA	16	20.9	4.8				0.161	27.146	10/18/2010	NA	NA	NA	NA	168.608695652174	45.6152333333333	-120.787533333333	103.73	0	NA
73	US001	21	1	US001-6-2	inv	ass map	control		6	2	12	28	4	n	NA	NA	NA	NA	NA		0.8	2.95	2010-10-21	86	12	21.8	5.3	14	20.7	4.5				0.134	27.937	10/14/2010	NA	NA		NA	208.485074626866	45.6152333333333	-120.787533333333	112	0	NA
74	US001	7	7	US001-10-5	inv	mat fx	control		10	5	15	21	2.5	n	NA	NA	NA	NA	NA		1	3.484	2010-10-21	86	9	16.2	3.8	12	16	3.5				0.194	25.093	10/18/2010	NA	NA	NA	NA	129.345360824742	45.6152333333333	-120.787533333333	52.5	0	NA
75	US001	6	40	US001-10-3	inv	mat fx	control		10	3	8	27.6	4.7	n	NA	NA	NA	NA	NA		0.7	3.088	2010-10-19	84	10	18.9	5	15	21.3	3.9				0.177	32.59	10/19/2010	NA	NA	NA	NA	184.124293785311	45.6152333333333	-120.787533333333	129.72	0	NA
76	US001	15	1	US001-3-1	inv	ass map	control		3	1	55	20.5	4.3	y	1	29	29	NA	2		0.6	3.241	2010-10-21	86	13	22.5	4	14	22.2	4.5	10/8/2010			0.094	NA	10/18/2010	73	NA		NA	NA	45.6152333333333	-120.787533333333	88.15	1	76
77	US001	6	20	US001-6-3	inv	mat fx	control		6	3	19	31.6	6.4	n	NA	NA	NA	NA	NA		0.9	4.28	2010-10-19	84	15	20.8	5.2	14	20.2	4.3				0.16	28.432	10/19/2010	NA	NA	NA	NA	177.7	45.6152333333333	-120.787533333333	202.24	0	NA
78	US001	21	36	US001-5-1	inv	ass map	control		5	1	12	33.7	5.5	n	NA	NA	NA	NA	NA		0.8	3.351	2010-10-21	86	13	26.3	5.2	15	23	3.8				0.153	34.93	10/14/2010	NA	NA		NA	228.300653594771	45.6152333333333	-120.787533333333	185.35	0	NA
79	US001	22	41	US001-7-11	inv	ass map	control		7	11	13	25.5	6.4	n	NA	NA	NA	NA	NA		0.9	3.258	2010-10-21	86	10	19.3	7.4	12	21.2	5.7				0.181	NA	10/15/2010	NA	NA		NA	NA	45.6152333333333	-120.787533333333	163.2	0	NA
80	US001	23	31	US001-4-1	inv	ass map	control		4	1	13	28.1	4.6	n	NA	NA	NA	NA	NA		0.7	3.336	2010-10-20	85	19	21.2	3.2	16	19.7	3.9				0.087	19.84	10/19/2010	NA	NA		NA	228.045977011494	45.6152333333333	-120.787533333333	129.26	0	NA
